第一 部分 ： 寂静 的 春天 第一 章 ： 1 . 疯狂 年代|||PARTIE I : UN PRINTEMPS SILENCIEUX CHAPITRE 1 : LES ANNÉES DE FOLIE 

汪淼 第一 眼 就 对 来 找 他 的 警察 没有 好感 。|||Les deux flics lui avaient fait mauvaise impression dès le premier regard . 

其实 那 名 穿 警服 的 年轻人 还 行 ， 举止 很 有 礼貌 ， 但 那位 便衣 就 让 人 讨厌 了 。|||Si le jeune en uniforme avait fait montre d' une certaine politesse à son égard , celui en civil avait l' air désagréable . 

这 人 长 得 五大三粗 ， 一 脸 横肉 ， 穿 着 件 脏 兮兮的 皮夹克 ， 浑身 烟味 ， 说话 粗声大嗓 ， 是 最 令 汪淼 反感 的 那 类 人 。|||Le gaillard , grand et robuste , avait une mine patibulaire . Il était vêtu d' une veste en cuir sale , empestait le tabac et , pour couronner le tout , grognait plus qu' il ne parlait . Il était l' incarnation même du type imbuvable . 

“ 汪淼 ？ ”|||— Wang Miao ? 

那 人 问 ， 直呼 其 名令 汪淼 很 不 舒服 ， 况且 那 人 同时 还 在 点烟 ， 头 都 不 抬 一 下 。|||Cette façon de l' interpeller directement par son nom l' irrita au plus haut point , d' autant que l' homme ne daigna pas lever la tête , trop occupé à allumer sa cigarette . 

不 等 汪淼 回答 ， 他 就 向 旁边 那位 年轻人 示意 了 一下 ， 后者 向 汪淼 出示 了 警官证 ， 他 点 完 烟 后 就 直接 向 屋里 闯 。|||Sans même attendre une réponse , il fit un signe au plus jeune qui présenta à Wang Miao sa carte de police . Sa cigarette allumée , le policier s' engouffra aussitôt dans l' appartement . 

“ 请 不 要 在 我 家 里 抽烟 。 ” 汪淼 拦住 了 他 。|||— Merci de ne pas fumer à l' intérieur de mon appartement , l' arrêta Wang Miao . 

“ 哦 ， 对 不 起 ， 汪教授 。|||— Je vous demande pardon , monsieur le professeur . 

这 是 我们 史 强 队长 。 ” 年轻 警官 微笑 着 说 ， 同时 对 姓史 的 使 了 个 眼色 。|||Permettez que je vous présente notre commissaire de police , M. Shi Qiang , expliqua le jeune policier dans un sourire , avant de lancer un clin d' œil au commissaire . 

“ 成 ， 那 就 在 楼道 里 说 吧 。 ”|||— Bon . Eh bien , bavardons sur le palier , lâcha Shi Qiang . 

史强 说 着 ， 深深 地 吸 了 一 大 口 ， 手中 的 烟 几乎 燃 下去 一半 ， 之后 竟 不 见 吐 出 烟 来 。|||Il inspira une profonde bouffée qui consuma la moitié de sa cigarette , mais à la surprise de Wang Miao , il n' expira pas la moindre fumée . 

“ 你 问 。 ” 他 又 向 年轻 警官 偏 了 一下 头 。|||Il fit un nouveau geste de la tête à son jeune collègue : — Demande - lui . 

“ 汪教授 ， 我们 是 想 了 解 一下 ， 最近 你 与 ‘ 科学 边界 ’ 学会 的 成员 有 过 接触 ， 是 吧 ？ ”|||— Professeur Wang , nous souhaiterions vous interroger au sujet de la Société scientifique des frontières de la science . Certains de ses membres ont récemment pris contact avec vous , n' est -ce pas ? 

“ ‘ 科学 边界 ’ 是 一个 在 国际 学术界 很 有 影响 的 学术 组织 ， 成员 都 是 著名 学者 。|||— La Société des frontières de la science est une association de recherche tout à fait légale , très influente au niveau international . Elle est constituée d' éminents scientifiques . 

这样 一个 合法 的 学术 组织 ， 我 怎 么 就 不 能 接触 了 呢 ？ ”|||En quoi serait -il illégal d' être en contact avec une telle association ? 

“ 你 看看 你 这个 人 ！ ”|||— Écoute - le ! beugla Shi Qiang . 

史强 大声 说 ， “ 我们 说 它 不 合法 了 吗 ？|||Vous nous avez entendus dire que c' était illégal ? 

我们 说 不 让 你 接触 了 吗 ？ ” 他 说 着 ， 刚才 吸 进 肚子 里 的 烟都 喷 到 汪淼 脸上 。|||Est -ce qu' il vous a été signifié à un seul instant de ne pas entrer en contact avec eux ? dit -il en recrachant enfin au visage de Wang Miao la fumée qu' il avait aspirée quelques instants plus tôt . 

“ 那 好 ， 这 属于 个人 隐私 ， 我 没 必要 回答 你们 的 问题 。 ”|||— C' est une question de vie privée et je n' ai aucune obligation de répondre à vos interrogations . — De vie privée ? 

“ 还 啥 都 成 隐私 了 ， 像 你 这样 一个 著名 学者 ， 总 该 对 公共 安全 负责 吧 。 ” 史强 把 手中 的 烟头 扔掉 ， 又 从 压扁 了 的 烟盒 里 抽出 一 根 。|||Un scientifique aussi réputé que vous devrait savoir qu' il a des responsabilités en termes de sûreté publique , vous ne croyez pas ? rétorqua Shi Qiang en jetant son mégot avant de tirer une nouvelle cigarette de son paquet écrasé . 

“ 我 有 权 不 回答 ， 你们 请 便 吧 。 ”|||— J' ai le droit de ne pas vous répondre . 

汪淼 说 着 要 转身 回屋 。 “ 等等 ！ ”|||Au revoir , messieurs , se contenta de dire Wang Miao en tournant le dos pour rentrer dans son appartement . 

史强 厉声 说 ， 同时 朝 旁边 的 年轻 警官 挥 了 一下手 ， “ 给 他 地址 和 电话 ， 下午 去 走 一 趟 。 ”|||— Minute ! mugit Shi Qiang tout en faisant un signe de la main au plus jeune des officiers . Donne - lui l' adresse et le numéro de téléphone . Cet après-midi , on va faire un tour . 

“ 你 要 干什 么 ！ ”|||— Mais que voulez -vous à la fin ? riposta Wang Miao , en colère . 

汪淼 愤怒 地质问 ， 这 争吵 引得 邻居 探 出 头 来 ， 想 看 看出 了 什 么 事 。|||Des voisins , alertés par la dispute , sortirent la tête de leurs appartements pour voir ce qui se passait sur le palier . 

“ 史队 ！|||— Commissaire Shi , vous aviez dit que vous … 

你 说 你 —— ” 年轻 警官 生气 地 将 史强 拉 到 一边 ， 显然 他 的 粗俗 不 止 是 让 汪淼一 人 不 适应 。|||Le jeune policier tira avec rage le commissaire par la manche . Visiblement , Wang Miao n' était pas le seul à être indisposé par la trivialité du commissaire . Le commandant militaire se précipita devant la porte : 

“ 汪教授 ， 请 别 误会 。 ”|||— Professeur Wang , ne vous méprenez pas sur notre compte . 

一 名 少校 军官 急忙 上前 ， “ 下午 有 一个 重要 会议 ， 要 请 几 位 学者 和 专 家 参加 ， 首长 让 我们 来 邀请 您 。 ”|||Une réunion importante se tient cet après-midi où seront présentes plusieurs personnalités de la communauté scientifique nationale . Nous avons pour mission de vous y conduire . 

“ 我 下午 很 忙 。 ”|||— J' ai d' autres choses prévues pour cet après-midi . 

“ 这 我们 清楚 ， 首长 已经 向 超导 中心 领导 打 了 招呼 。|||— Nous sommes au courant . Notre supérieur a déjà contacté le directeur de votre Centre de recherches en nanotechnologie . 

这次 会议 上 不 能 没有 您 ， 实在 不 行 ， 我们 只有 把 会议 延期 等 您 了 。 ”|||Votre présence est indispensable . Nous n' aurions d' autre choix que de la reporter notre réunion . 

史强 和 他 的 同事 没 再 说话 ， 转身 下 楼 了 ， 两 位 军官 看 着 他们 走 远 ， 似乎 都 长 出 了 一 口 气 。|||Shi Qiang et son collègue restèrent silencieux , ils tournèrent les talons et descendirent l' escalier . En les voyant s' éloigner , les deux militaires parurent pousser un long soupir de soulagement . 

“ 这 人 怎 么 这样儿 。 ” 少校 小声 对 同事 说 。|||— C' est quoi , son problème ? demanda à voix basse le commandant à son collègue . 

“ 他 劣迹 斑斑 ， 前 几 年 在 一 次 劫持 人质 事件 中 ， 他 不 顾 人质 的 死活 擅自 行动 ， 结果 导致 一 家 三 口 惨死 在 罪犯 手中 ； 据说 他 还 和 黑社会 打得火热 ， 用 一 帮 黑道 势力 去 收拾 另 一 帮 ； 去年 又 搞 刑讯 逼供 ， 使 一 名 嫌疑人 致残 ， 因此 被 停职 了 … … ”|||Il y a quelques années , lors d' une prise d' otages , il a joué au loup solitaire , au mépris de la sécurité des otages . Résultat : trois morts de la même la famille , abattus par les ravisseurs . On raconte aussi qu' il fricote avec la pègre , il collaborerait avec des organisations mafieuses dans le but d' en faire tomber d' autres . Et cerise sur le gâteau , l' année dernière , il a tellement torturé un suspect qu' il s' est retrouvé handicapé moteur . 

“ 这种 人怎 么 能 进 作战 中心 ？ ”|||— Qu' est -ce qu' un mec comme lui fout au Centre d' opérations militaires ? 

“ 首长 点名 要 他 ， 应该 有 什 么 过人 之 处 吧 。|||— Ordre du général . Il doit avoir quelque chose de plus que les autres . 

不 过 ， 对 他 限制 挺严 ， 除 了 公安 方面 的 事务 ， 几乎 什 么 都 不 让 他 知道 。 ”|||Mais les restrictions le concernant sont claires : mis à part les questions de sûreté publique , nous ne lui donnons aucune autre information . 

作战 中心 ？|||Le Centre d' opérations militaires ? 

那 是 什 么 ？|||De quoi parlaient -ils ? 

汪淼 不 解 地 看 着 面前 的 两 位 军官 。|||Wang Miao observa les deux militaires avec perplexité . 

接汪淼 的 汽车 驶进 了 城市 近郊 的 一 座 大院 ， 从 那 只 有 门牌 号码 没有 单位 名牌 的 大门 ， 汪淼 知道 这里 是 军方 而 不 是 警方 的 地盘 。|||La voiture qui vint le chercher le conduisit dans un grand complexe situé à la périphérie de la ville . Wang Miao remarqua qu' aucune indication ne figurait sous le numéro du bâtiment . Il en déduisit que le site appartenait à l' armée et non à la police . 

会议 是 在 一个 大厅 里 举行 的 ， 汪淼 一 进去 就 对 这里 的 纷乱 吃惊 不 小 。|||La réunion avait lieu dans une grande salle de conférences . Wang Miao fut stupéfait du chaos qui régnait à l' intérieur . La salle était truffée de matériel informatique . 

大厅 周围 是 一 圈 胡乱 安放 的 电脑 设备 ， 有 的 桌子 上 放 不 下 就 直接 搁地板 上 ， 电线 和 网线 纠缠 着 散 在 地上 ； 一 大 摞 网络 交换机 没有 安 在 机架 内 ， 而是 随手 堆放 在 服务器 上 ； 有 好几 个 投影仪 的 大 屏幕 ， 在 大厅 的 角落 里 呈 不 同 角度 随意 立 着 ， 像 吉普赛人 的 帐篷 ； 烟雾 像 晨雾 般 在 半空浮 了 一 层 … … 汪淼 不 知道 这 是 否 就 是 那 名 军官 所 说 的 作战 中心 ， 有 一点 他 可以 肯定 ： 这里 在 处理 的 事情 ， 已经 让 人们 顾 不 上 其他 了 。|||Certains ordinateurs , n' ayant pu trouver place sur les tables , étaient posés à même le sol , tandis que des fils électriques et des câbles Ethernet emmêlés étaient éparpillés un peu partout . Les commutateurs réseau n' étaient pas rangés dans des racks– comme l' exigeaient pourtant les normes de sécurité habituelles – mais directement empilés sur les serveurs . Des écrans de vidéoprojecteur étaient installés aux quatre coins de la salle selon des angles différents . On aurait cru des tentes de gitans . 

临时 拼凑 的 会议桌 上 也 是 堆满 了 文件 和 杂物 ， 与会者 大多 神情 疲惫 ， 衣服 皱巴巴 的 ， 有 领带 的 都 扯 开 了 ， 好像 熬 了 一 夜 。|||La table de conférence de fortune était jonchée de documents et d' objets divers . La plupart des participants avaient l' air épuisés , leurs costumes étaient froissés et leurs cravates dénouées , comme s' ils venaient de passer une longue nuit blanche . 

主持 会议 的 是 一 位 叫 常伟思 的 陆军 少将 ， 与会者 有 一半 是 军人 。|||Le président de séance était un général de l' armée de terre nommé Chang Weisi , et la moitié des participants étaient des militaires . 

经过 简单 的 介绍 ， 他 知道 还有 少 部分 警方 人员 ， 其他 的 人 都 是 和 他 一样 参加 会议 的 专 家 学者 ， 其中 有 几 位 还是 很 有 名望 的 科学 家 ， 而且 是 研究 基础科学 的 。|||Après un bref tour de table , Wang Miao apprit que l' assistance comptait aussi un certain nombre de membres de la police et d' autres experts scientifiques comme lui . Certains d' entre eux étaient d' ailleurs des chercheurs prestigieux travaillant dans le domaine des sciences fondamentales . 

🐠 鲲 + 弩 + 小 + 说 + w w w ~ k u n n u ~ c o m -|||

令 他 感到 意外 的 是 还有 四 个 外国人 ， 这些 人 的 身份 令 他 大吃一惊 ： 其中 的 两 个 人 也 是 军人 ， 分别 是 美军 空军 上校 和 英国 陆军 上校 ， 职务 是 北约 联络员 ； 另外 两 人 居然 是 美国 中央 情报局 的 官员 ， 在 这里 的 职务 是 什 么 观察员 。|||Ce qui l' étonnait davantage , c' était la présence de quatre étrangers , et plus encore , l' identité de ces derniers : un colonel de l' armée de l' air américaine et un colonel de l' armée de terre britannique , tous deux émissaires de l' Otan . Plus surprenant encore , deux agents de la CIA , présents en tant qu' observateurs . 

从 所有 人 的 脸上 ， 汪淼 都 读出 了 一 句 话 ： 我们 已经 尽力 了 ， 快 他 妈 的 结束 吧 ！|||Wang Miao lisait une seule et même phrase sur leurs visages : " Nous avons fait l' effort de venir , alors ne traînons pas ! " 

汪淼 看到 了 史强 ， 他 倒是 一 反 昨天 的 粗鲁 ， 向 汪淼 打招呼 ， 但 那 一 脸 傻笑 让 汪淼 愉快 不 起 来 。|||Wang Miao aperçut le commissaire Shi Qiang . La rudesse du matin fit place à un salut poli . Pour autant , le sourire nigaud du commissaire ne parvint pas à le rendre plus sympathique à ses yeux . 

他 不 想 挨史 强 坐 ， 但 也 只 有 那 一个 空位 ， 他 只好 坐 过去 ， 屋里 本 来 已经 很 浓 的 烟味 更 加重 了 。|||Il n' avait aucune envie de prendre place à côté de lui , mais il ne restait qu' un siège de libre et il dut s' y résoudre . L' odeur déjà pesante du tabac devint encore plus oppressante après l' arrivée de Shi Qiang . 

发 文件 时 ， 史 强 凑 近 汪淼 说 ： “ 汪 教授 ， 你 好像 是 在 研究什 么 … … 新 材料 ？ ”|||Au moment où furent distribués les documents , Shi Qiang se pencha vers Wang Miao et lui glissa : — Professeur Wang , je crois que vous faites des recherches sur euh … les nouveaux matériaux , c' est bien ça ? 

“ 纳米 材料 。 ” 汪淼 简单 地 回答 。|||— Les nanomatériaux , répondit simplement Wang Miao . 

“ 我 听说 过 ， 那 玩意儿 强度 很 高 ， 不 会 被 用于 犯罪 吧 ？ ”|||— J' ai entendu dire que c' était du costaud . Ça pourrait être utilisé à des fins criminelles ça , non ? 

从 史强 那 带有 一半 调侃 的 表情 上 ， 汪淼 看 不 出 他 是 不 是 开玩笑 。|||Une expression à moitié goguenarde se lisait sur son visage , sans que Wang Miao parvienne à savoir s' il était sérieux ou s' il se moquait de lui . 

“ 什 么 意思 ？ ”|||— Que voulez -vous dire ? 

“ 呵 ， 听说 那 玩意儿 一 根 头发 丝粗 就 能 吊 起 一 辆 大 卡车 ， 犯罪分子 要是 偷点儿 去 做 把 刀 ， 那 一 刀 就 能 把 一 辆 汽车 砍 成 两 截 吧 。 ”|||— On m' a raconté que des trucs pas plus épais que des cheveux suffisaient à soulever un camion et qu' un criminel qui arriverait à s' en procurer pourrait forger une machette capable de découper une voiture en deux . 

“ 哼 ， 根本 不 用 做成 刀 ， 用 那种 材料 做 一 根 只 有 头发 丝 百分之一 粗细 的 线 ， 拦 在 路上 ， 就 能 把 过往 的 汽车 像 切奶酪 那样 切 成 两 半 … … 啥 不 能 用于 犯罪 ？ 刮 鱼鳞 的 刀 都 能 ！ ”|||— Mmh , pas besoin de s' en faire une machette . Un fil de l' épaisseur d' un centième de cheveu conçu avec certains nanomatériaux et qu' on tendrait sur une route pourrait trancher un véhicule aussi facilement que si c' était du fromage … Mais vous savez , n' importe quel objet peut servir à des fins criminelles : on peut tuer quelqu' un avec un écailleur à poisson … 

史强 把 面前 的 文件 从袋 中 抽出 一半 又 塞 了 回去 ， 显然 没 了 兴趣 。|||Shi Qiang sortit la moitié d' un document de la sacoche et l' y replongea aussitôt , n' y voyant visiblement aucun intérêt . 

“ 说 得 对 ， 鱼 都 能 犯罪 呢 ！|||— Pas faux . On peut même tuer avec un poisson ! 

我 办 过 一个 杀人案 ， 一个 娘们儿 把 她 丈夫 的 那 玩意儿 割 下 来 了 。 知道 用 的 是 什 么 ？|||Je me suis occupé d' une affaire où la nana avait tranché l' engin de son mari avec vous savez quoi ? 

冰箱 里 冷冻 的 罗非鱼 ！|||Un tilapia sorti du congélateur ! 

鱼冻 硬 后 ， 背 上 的 那 排 刺 就 跟 一 把 快 刀 似 的 … … ”|||L' épine dorsale congelée de la poiscaille était aussi coupante qu' un couteau . 

“ 我 没 兴趣 ， 怎 么 ， 让 我 来 开会 就是 为 这 事儿 ？ ”|||— Ça ne m' intéresse pas . On ne m' a pas fait venir à cette réunion pour ça tout de même ? 

“ 鱼 ？|||— Les poissons ? 

纳米 材料 ？|||Les nanomatériaux ? 

不 、 不 ， 与 那些 都 没关系 。 ”|||Non , non , aucun rapport . 

史强 把 嘴 凑 到 汪淼 耳边 ， “ 别 给 这 帮 家 伙 好 脸 ， 他们 歧视 咱们 ， 只 想 从 咱们 这里 掏 情报 ， 但 什 么 都 不 告诉 咱们 。|||Shi Qiang rapprocha sa bouche de l' oreille de Wang Miao : — N' ayez aucune tendresse pour ces types , ils nous prennent pour des abrutis . Ils nous soutirent des infos , mais ils ne nous racontent rien . 

像 我 ， 在 这儿 混 了 一个 多 月 ， 还 和 你 一样 什 么 都 不 知道 。 ”|||Regardez -moi , ça fait un mois que je fais partie du plan , et je n' en sais pas plus que vous . 

“ 同志 们 ， 会议 开始 。 ”|||— Chers camarades , la réunion va débuter , les interrompit Chang Weisi . 

常伟思 将军 说 ， “ 在 全球 各 战区 ， 我们 这里 现在 成为 焦点 。|||L' endroit où vous vous trouvez aujourd'hui est le point de ralliement de différentes opérations militaires menées dans le monde entier . 

首先 把 当前 情况 向 与会 的 同志 们 介绍 一下 。 ”|||Je commencerai par préciser aux camarades ici présents la situation telle qu' elle est à l' heure actuelle . 

“ 战区 ” 这个 不 寻常 的 术语 令 汪淼迷惑 ， 他 还 注意 到 ， 首长 好像 并 没有 打算 向 他 这样 的 新人 介绍 来龙去脉 ， 这 倒 是 印证 了 史强 的 话 。|||Wang Miao fut déconcerté par l' utilisation du terme d'"opérations militaires " . Il remarqua cependant qu' il n' était pas dans l' intention du général d' expliquer aux nouveaux arrivants comme lui les tenants et les aboutissants de l' affaire , ce qui allait dans le sens de ce que venait de dire Shi Qiang . 

在 常 将军 这 简短 的 开场白 中 ， 他 两 次 提到 了 “ 同志 们 ” ， 汪淼 看看 对面 的 两 名 北约 军人 和 两 个 美国 中情局 官员 ， 感觉 将军 似乎 漏掉 了 “ 先生 们 ” 。|||Durant son court discours d' ouverture , le général Chang utilisa par deux fois l' expression " chers camarades " . Wang Miao jeta un œil sur les militaires de l' Otan et les agents de la CIA et se demanda si le général n' avait pas oublié de leur donner à eux du " chers messieurs " . 

“ 他们 也 是 同志 ， 反正 这边 的 人 都 是 这 么 称呼 的 。 ”|||— Eux aussi , ce sont des camarades . 

史强 低声 地 对 汪淼 说 ， 同时 用 手中 的 烟指 了 指 那 四 个 外国人 。|||De toute façon , tout le monde s' interpelle comme ça ici , chuchota Shi Qiang en désignant les quatre étrangers avec la cigarette qu' il tenait entre les doigts . 

在 迷惑 的 同时 ， 汪淼 对 史强 的 观察力 留下 了 些 印象 。|||Wang Miao fut à la fois déconcerté et impressionné par le sens de l' observation du commissaire . 

“ 大史 ， 你 把 烟熄 了 ， 这儿 的 烟味 够 浓 了 。 / ” 常伟思 说 ， 低头 翻 着 文件 。|||— Shi Qiang , éteins ta cigarette , l' odeur de fumée est déjà suffisamment forte comme ça , lança Chang Weisi avant de replonger la tête dans ses documents . 

史强 拿 着 刚 点 着 的 烟四下 看看 ， 没 找到 烟灰缸 ， 就 “ 吱 啦 “ 一 声 扔 到 茶杯 里 了 。|||La cigarette qu' il venait d' allumer à la main , Shi Qiang jeta un regard circulaire autour de lui . Ne trouvant pas trace d' un cendrier , il écrasa dans un grésillement son mégot dans sa tasse de thé . 

他 抓住 这个 机会 举手 要求 发言 ， 没 等 常 伟思 表态 就 大声 说道 ： “ 首长 ， 我 提 个 要求 ， 以前 提 过 的—— 信息 对等 ！ ”|||Profitant de l' occasion , il leva la main pour prendre la parole et , sans même attendre la permission de Chang Weisi , il éructa : — Général , j' ai une réclamation que j' avais déjà exprimée : nous voulons une transparence totale sur les informations ! 

常伟思 将军 抬 起 头 ， “ 没有 任何 一个 军事 行动 是 信息 对等 的 ， 这 点 也 请 到会 的 专 家 学者 们 谅解 ， 我们 不 可能 给 你们 介绍 更 多 的 背景 资料 。 ”|||Le général Chang leva la tête : — Il n' existe pas d' information d' ordre militaire qui puisse être totalement transparente . Je demande aux chercheurs présents aujourd'hui de bien comprendre que nous ne sommes pas en mesure de vous divulguer davantage d' informations . 

“ 但 我们 不 一样 。 ”|||— Mais nous , ce n' est pas pareil , nous sommes flics , nom d' un chien ! 

史强 说 ， “ 警方 从 作战 中心 成立 之 初 就 一直 参与 ， 可 直到 现在 ， 我们 连 这个 机构 到底 是 干什 么 的 都 不 知道 。|||Nous participons aux activités du Centre d' opérations militaires depuis sa fondation et , encore aujourd'hui , nous n' avons pas la moindre idée de ce à quoi il sert ! 

而且 ， 你们 正在 把 警方 排挤 出去 ， 你们 一步步 熟悉 我们 的 工作 ， 然后 把 我们 一个个 赶走 。 ”|||Sans compter que vous êtes joliment en train de nous mettre de côté : vous profitez de notre boulot et il faudrait qu' on s' écarte une fois qu' il est fini ! 

与会 的 另外 几 名 警官 都 在 低声 制止 史 强 。|||Plusieurs officiers de police présents dans la salle tentèrent à voix basse de faire taire Shi Qiang . 

史强 敢 对 常伟思 这样 级别 的 首长 这 么 说话 ， 汪淼 有些 吃惊 ， 而 后者 的 反击 更 犀利 。|||Wang Miao était quelque peu estomaqué que celui-ci ose s' adresser ainsi à quelqu' un du grade du général Chang Weisi . La contre-attaque de ce dernier fut cinglante : 

“ 我 说 大史 ， 现在 看 来 ， 你 在 部队 上 的 老毛病 还 没 改 。|||— Eh bien , Shi Qiang , il semblerait que tes déplorables manières n' aient pas changé . 

你 能 代表 警方 吗 ？|||Tu penses t' exprimer au nom de toute la police ? 

你 因为 自己 的 恶劣 行为 已 被 停职 好几 个 月 了 ， 马上 就要 被 清除 出 公安 队伍 。|||Tu as déjà été mis à pied plusieurs mois pour ton comportement et tu risques de te retrouver tôt ou tard exclu du corps des forces de l' ordre . 

我 调 你 来 ， 是 看重 你 在 城市 警务 方面 的 经验 ， 你 要 珍惜 这 次 机会 。 ”|||Si je t' ai demandé de venir , c' est parce que j' ai du respect pour ta carrière dans les forces de police urbaine . Tu devrais plutôt me remercier de te donner cette chance . 

大史 用 粗嗓门 说 ： “ 那 我 是 戴罪立功 了 ？|||Shi Qiang éleva la voix : — Une chance , en reconnaissance des services rendus ? 

你们 不 是 说 那 都 是 些 歪门邪道 的 经验 吗 ？|||Et moi qui croyais que j' avais des méthodes de truand … 

” “ 但 有用 。 ” 常 伟思 对 史强点点 头 ， “ 有用 就 行 ， 现在 顾 不 了 那 么 多 了 ， 这 是 战争 时期 。 ”|||— Elles pourraient bien s' avérer utiles , répondit Chang Weisi en hochant la tête , c' est la seule chose qui compte aujourd'hui . Nous sommes en guerre . 

“ 什 么 都 顾 不了了 ， ” 一 位 CIA 的 情报 官员 用 标准 的 普通话 说 ， “ 我们 不 能 再 用 常规 思维 。 ”|||— Plus rien ne compte à présent , reprit un agent de la CIA dans un mandarin parfait . Il nous faut rompre avec les conventions du passé . 

那位 英军 上校 显然 也 能 听 懂 中文 ， 他 点点 头 ， “ To be o r not t o be … … ”|||Le colonel britannique , qui semblait lui aussi comprendre le chinois , approuva de la tête et lâcha : — To be or not to be … 

“ 他 说 什 么 ？ ” 史 强 问 汪淼 。|||— Qu' est -ce qu' il a dit ? demanda Shi Qiang à Wang Miao . 

“ 没什 么 。 ” 汪淼 机械 地 回答 。|||— Rien , répondit -il mécaniquement . 

这些 人 似乎 在 梦呓 ， 战争 时期 ？|||Ils avaient tous l' air de divaguer : en guerre ? 

战争 在 哪 儿 ？|||Mais où voyaient -ils une guerre ? 

他 扭头 望 向 大厅 的 落地窗 ， 透过 窗子 可以 看到 远处 大院 外面 的 城市 ： 春天 的 阳光 下 ， 街道 上 车流 如 织 ； 草坪 上 有人 在 遛狗 ， 还有 几 个 孩子 在 玩耍 … …|||Il tourna la tête vers les baies vitrées de la salle . Au loin , derrière la cour , on pouvait apercevoir la ville , ses artères et ses cortèges de voitures . Sur les pelouses , on distinguait des maîtres promenant leurs chiens et des enfants en train de jouer … 

里面 和 外面 的 世界 ， 哪 个 更 真实 ？|||Lequel des deux était le plus réel , le monde de l' intérieur ou celui de l' extérieur ? 

常 将军 讲 道 ： “ 最近 ， 敌人 的 攻击 明显 加强 了 ， 目标 仍 是 科学界 高层 ， 请 你们 先 看 一下 文件 中 的 那 份 名单 。 ”|||Le général Chang poursuivit : — Récemment , l' ennemi a significativement intensifié ses attaques . Ses cibles sont maintenant les hautes sphères scientifiques . Veuillez à présent consulter la liste des noms distribuée dans vos documents . 

汪淼 抽出 文件 中 最 上面 的 那 张 纸 ， 是 用 大号 字 打印 的 ， 名单 显然 拟 得 很 仓促 ， 中文 和 英文 姓名 都 有 。|||Wang Miao se saisit de la première feuille . Les noms , retranscrits en chinois et en anglais et écrits en gros caractères , semblaient avoir été tapés à la hâte . 

“ 汪教授 ， 看到 这 份 名单 ， 您 有 什 么 印象 ？ ”|||— Professeur Wang , quels sentiments vous inspire cette liste ? demanda le général . 

常伟思 看 着 汪淼问 。 “ 我 知道 其中 的 三 人 ， 都 是 物理学 最 前沿 的 著名 学者 。 ”|||— Je connais trois d' entre eux . Ce sont tous de remarquables physiciens , de vrais précurseurs , répondit -il , l' esprit distrait . 

汪淼 答道 ， 有些 心不在焉 ， 他 的 目光 锁定 在 最后 一个 名字 上 ， 在 他 的 潜意识 中 ， 那 两 个 字 的 色彩 与 上面 几 行 字 是 不 同 的 。|||Son regard était en réalité resté rivé sur le dernier nom de la liste . Dans son esprit , les deux caractères apparaissaient sous une couleur différente de celle des caractères figurant au-dessus . 

怎 么 会 在 这里 看到 她 的 名字 ？|||Comment son nom à elle s' était -il retrouvé ici ? 

她 怎 么 了 ？|||Que lui était -il arrivé ? 

“ 认识 ？ ” 大史 用 一 根 被 烟 熏 黄 的 粗指头 指 着 文件 上 的 那个 名字 问 ， 汪淼 没有 反应 。|||— Une connaissance ? demanda Shi Qiang en pointant le nom avec un doigt bouffi et jauni par la cigarette . Wang Miao fit la moue . 

“ 呵 ， 不 太 认识 。|||— Ah , pas plus que ça ? 

想 认识 ？ ”|||Vous souhaiteriez la rencontrer ? 

现在 ， 汪淼 知道 常伟思 把 他 以前 的 这个 战士 调 来 是 有 道理 的 ， 这个 外表 粗俗 的 家伙 ， 眼睛 跟 刀子 一样 。|||Wang Miao comprenait à présent pourquoi Chang Weisi avait eu du nez de faire appel à Shi Qiang . Sous ce regard un peu lourdaud se cachaient en réalité des yeux aussi acérés que des poignards . 

他 也 许 不 是 个 好 警察 ， 但 确实 是 个 狠 角色 。|||Ce n' était peut-être pas un flic intègre , mais il était loin d' être idiot . 

那 是 一 年 前 ， 汪淼 是 “ 中华二号 ” 高能 加速器 项目 纳米 构件 部分 的 负责人 。|||C' était il y a un an de cela , Wang Miao était responsable de la section des nanocomposants du projet d' accélérateur de particules " China II " . 

那天 下午 在 良湘 的 工地 上 ， 一 次 短暂 的 休息 中 ， 他 突然 被 眼前 的 一 幅 构图 吸引 了 。|||Un après-midi , lors d' une brève pause sur le site de Liangxiang , quelque chose avait attiré son regard . 

作为 一 名 风景 摄影 爱好者 ， 现实 的 场景 经常 在 他 眼中 形成 一幅幅 艺术 构图 。|||En tant que passionné de photographie de paysage , il lui arrivait souvent que des scènes de la réalité se matérialisent dans ses yeux en une composition artistique . 

