第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
“足够了，”沙瑞山挥手打断了汪淼的话，“那你就应该知道，与我们观测的不同部分的微小不均匀不同，宇宙整体辐射背景波动是随着宇宙的膨胀，在宇宙时间尺度上缓慢变化的，以Planck卫星的精度，直到一百万年后都未必能测出这种变化你却想在今天晚上发现它百分之五的波动？	— Vous en savez largement assez, l'interrompit Sha Ruishan d'un geste de la main. Vous devez donc également savoir que, contrairement aux petites variations locales que l'on peut parfois observer dans différentes parties de l'univers, l'amplitude globale du rayonnement fossile est liée à l'expansion de l'univers. C'est une variation très lente, mesurable à l'échelle de l'âge de l'univers. Avec la précision du satellite Planck, il est possible que, même après un million d'années d'observation constante, cette variation n'ait toujours pas été détectée.
！	Et vous voudriez constater dès ce soir une fluctuation de l'ordre de cinq pour cent ?
知道这意味着什么吗？	Savez-vous ce que cela signifierait ?
这意味着整个宇宙像一个坏了的日光灯管那样闪烁！”	Cela signifierait que l'univers se mettrait à clignoter, comme un néon sur le point de griller !
而且是为我闪烁，汪淼心里说。	Et de plus, qu'il se mettrait à clignoter pour moi, pensa Wang Miao.
“叶老师这是在开什么玩笑。” 沙瑞山摇摇头说。	— Le Pr Ye doit me faire une blague, soupira Sha Ruishan en secouant la tête.
“但愿真是个玩笑。”	— J'aimerais tant que ce ne soit qu'une blague, dit Wang Miao.
汪淼说，本想告诉他，叶文洁并不知道详情，但又怕因此招致他的拒绝，不过这倒是他的心里话。	Il était sur le point de lui révéler ce qu'il n'avait pas osé dire à Ye Wenjie, mais il avait peur que Sha Ruishan ne refuse de l'aider. Il venait au moins de lâcher ce qu'il avait sur le cœur.
“既然是叶老师交待的，就观测吧，反正也不费劲，百分之一的精度。 用老古董COBE就行了。”	— Bien, comme c'est le Pr Ye qui vous envoie, je vais vous laisser observer. Ce n'est pas bien compliqué ; pour une précision de un pour cent, les données envoyées par l'antiquité qu'est Cobe seront suffisantes.
	En même temps qu'il parlait, Sha Ruishan s'activait sur le terminal.
沙瑞山说着，在终端上忙活起来，很快屏幕上出现一条平直的绿线，“你看，这就是当前宇宙整体背景辐射的实时数值曲线，哦，应该叫直线才对，数值是2.726±0.010K，那个误差是银河系运动产生的多普勒效应，已经滤掉了。	Très vite, une ligne de couleur verte apparut sur l'écran. — Cette courbe représente l'évolution en temps réel du fond diffus cosmologique. Oh, davantage qu'une courbe, il faudrait parler de ligne droite. La température est de 2,726 ± 0,010 K. La marge d'erreur est la conséquence, par effet Doppler, du mouvement de la Voie lactée, qui a déjà été décompté du résultat.
如果发生你所说的超过百分之一振幅的波动，这条线就会变红并将波动显示出来。	Si la fluctuation de un pour cent dont vous parliez devait avoir lieu, la ligne deviendrait rouge et se courberait sur l'écran.
我敢打赌直到世界末日它也是条绿直线，要看到它显现肉眼看得到的变化，可能比看太阳毁灭还要等更长的时间。”	Mais je suis prêt à parier que la ligne restera verte jusqu'à la fin des temps. Pour que cette variation soit visible à l'œil nu, il faudra attendre encore bien longtemps après l'explosion du soleil.
“这不会影响您的正常工作吧？”	— Je ne vous dérange pas dans votre travail ? — Non, pas du tout.
“当然不会，那么粗的精度，用COBE观察数据的边角料就足够了。	La précision que vous demandez est très faible. Vous pourrez consulter les données de ce vieux tas de ferraille de Cobe.
好了，从现在开始，如果那伟大的波动出现，数值会自动存盘。”	Bien, tout est prêt. Si, à partir de maintenant, une fluctuation importante venait à se produire, les données la concernant seraient automatiquement sauvegardées.
“可能要等到凌晨一点。”	— Il faudra peut-être attendre 1 heure du matin.
“哇，这么精确？	— Dites-moi, c'est très précis !
没关系，反正我本来就是值夜班。	Pas de problème, je suis du service de nuit.
您吃饭了吗？	Vous avez déjà dîné ?
那好，我带您去参观一下吧。”	Bien, je vais vous faire visiter un peu.
这一夜没有月亮，他们沿着长长的天线阵列漫步。	La nuit était sans lune. Ils déambulaient le long de la rangée d'antennes.
沙瑞山指着天线说：“壮观吧？	Sha Ruishan les pointa du doigt en disant : — Impressionnant, n'est-ce pas ?
可惜都是聋子的耳朵。”	Dommage que ce ne soient que des oreilles de sourd.
“为什么？”	— Pourquoi cela ?
“自它们建成以来，在观测频段上就干扰不断，先是上世纪八十年代末的寻呼台，到现在是疯狂发展的移动通信。	— Depuis leur construction, elles n'ont cessé de subir des perturbations. Tout d'abord, la radiomessagerie à la fin des années 1980 et, aujourd'hui, l'explosion des communications mobiles.
这些米波综合孔径射电望远镜能做的那些项目，像米波巡天、射电变源、超新星遗迹研究等等，大部分都不能正常开展。	Ces radiotélescopes ont plusieurs tâches : faire des relevés sur les objets célestes, détecter des sources radio variables, étudier les rémanents de supernova… mais pour la majorité d'entre eux, ils sont inutilisables.
多次找过无委会（国家无线电管理委员会），没有用，我们能玩得过中国移动、联通、网通？	Nous nous sommes plaints à plusieurs reprises auprès de la Commission nationale de régulation de la radio, mais cela n'a servi à rien. Comment lutter contre les compagnies China Mobile, China Unicom ou China Netcom ?
没有钱，宇宙奥秘算个球！	Sans fric, les mystères de l'univers, c'est du pipi de chat.
好在我的项目靠卫星数据，与这些‘旅游景观’无关了。”	Heureusement que mon projet dépend des données des satellites et que je n'ai aucun rapport avec ces "attractions pour touristes".
“近年来很多基础研究的商业运行还是很成功的，比如高能物理。	— Ces dernières années, beaucoup de projets en recherche fondamentale ont réussi à trouver des exploitations commerciales, comme pour le domaine de la physique des particules.
把观测基地建到离城市远些的地方应该好些吧？”	Peut-être aurait-il été préférable de construire l'observatoire loin d'une grande ville.
“那还是钱的问题。	— Encore un problème d'argent.
就目前而言，只能是在技术上屏蔽干扰。	Aujourd'hui, notre seule voie de secours est de trouver des moyens techniques pour supprimer les perturbations.
唉，叶老师要在就好了，她在这方面造诣很深。”	Dommage que le Pr Ye ne soit pas là. Elle a obtenu des résultats remarquables dans ce domaine.
于是话题转到叶文洁身上。	Leur conversation s'attarda sur Ye Wenjie.
从她的学生那里，汪淼得知了她那历经风霜的一生：他听沙瑞山讲她如何目睹父亲在“文革”中的惨死，讲她后来在建设兵团被诬陷，后来杳无音讯；九十年代初才又回到了这座城市，在父亲曾工作过的大学中讲授天体物理学直到退休。	Wang Miao apprit de la bouche de son étudiant toutes les tragédies qui avaient jalonné sa vie. Il écouta Sha Ruishan lui raconter comment elle avait assisté à la mort violente de son père pendant la Révolution culturelle, comment elle avait été incriminée à tort durant la période où elle servait dans le Corps de production et de construction de Mongolie-Intérieure et comment on avait perdu sa trace jusqu'à sa réapparition dans cette ville au début des années 1990 pour enseigner l'astrophysique jusqu'à sa retraite dans l'université même où avait travaillé son père.
“最近才知道，她那二十多年，是在红岸基地度过的。”	— Je n'ai appris que tout récemment qu'elle avait passé plus de vingt ans dans la base de Côte Rouge.
“红岸？	— Côte Rouge ?
！” 汪淼吃惊地停住了脚步，“难道那些传说……”	(Wang Miao, surpris, arrêta de marcher. ) Se pourrait-il que les rumeurs…
“大部分是真的。	— La plupart sont avérées.
红岸自译解系统的一名研制者移民到欧洲，去年写了一本书，你所说的传说大多来自于那本书，据我了解是真的。	Un ancien chercheur qui a contribué au développement du système de décryptage de Côte Rouge a émigré en Europe où il a écrit un livre qui a été publié l'année dernière. La plupart des rumeurs dont vous parlez sont nées avec ce livre. Pour ce que j'en sais, tout est crédible.
红岸工程的参与者大都还健在。”	Beaucoup de personnes ayant pris part au projet Côte Rouge sont encore en vie.
“这可真是……传奇啊！”	— C'est vraiment… une légende fantastique !
“尤其是发生在那个年代，更是传奇中的传奇。” ……	— Et encore plus pour cette époque. C'est une légende dans la légende.
他们又谈了一会儿，沙瑞山问起进行这次奇怪观测的目的，汪淼避而不答，他也就没有再问。	Ils discutèrent encore un moment, puis Sha Ruishan l'interrogea au sujet de son étrange requête, mais Wang Miao éluda les questions et Sha Ruishan n'insista pas.
显然，一个专家的尊严，不允许他对这种违反专业常识的观测表现出过多的兴趣。	Sa dignité de spécialiste ne lui permettait pas de poser trop de questions au sujet d'une requête que ses connaissances professionnelles lui faisaient trouver non pertinente.
然后他们到一间为游客开的通宵酒吧中去坐了两个多小时，沙瑞山一杯接着一杯地灌啤酒，变得更加健谈，而汪淼却早已心神不定，脑子里不断地浮现出那条绿色直线。	Ils se rendirent dans un bar pour touristes ouvert toute la nuit et y restèrent durant deux heures. À mesure qu'il enfilait les pintes de bière, Sha Ruishan devenait plus bavard. Mais Wang Miao était distrait depuis un long moment : la ligne verte du terminal occupait tout son esprit.
直到差十分钟凌晨一点时，沙瑞山才接受了汪淼的多次提议，起身返回实验室。	Ce n'est qu'à minuit cinquante que Sha Ruishan céda enfin aux sollicitations insistantes de Wang Miao et accepta de retourner au laboratoire.
这时，照向射电天线阵列的聚光灯已经熄灭，天线在夜空下变成了简明的黑色二维图案，仿佛是一排抽象的符号，以同一个仰角齐齐地仰望着宇宙，似乎在等待着什么。	Les projecteurs qui éclairaient les antennes avaient été éteints et la rangée d'antennes était devenue comme un dessin en deux dimensions avec le ciel nocturne pour décor, un chapelet de symboles abstraits tournés vers l'univers, dans l'attente d'une réponse.
这景象令汪淼不寒而栗，他想起了《三体》中的那些巨摆。	Cette scène fit frissonner Wang Miao, qui se rappela les pendules du jeu des Trois Corps.
回到实验室时正好是凌晨一点，当他们将目光投向终端屏幕时，波动刚刚出现，直线变成了曲线，出现了间隔不一的尖尖的波峰，颜色也变红了，如同一条冬眠后的蛇开始充血蠕动了。	Il était 1 heure pile lorsqu'ils revinrent dans le laboratoire. Alors qu'ils portaient leur regard sur l'écran du terminal, une variation venait tout juste d'apparaître : la ligne droite était devenue une courbe, entrecoupée à intervalles irréguliers de petits pics aigus. De verte elle était passée au rouge. On aurait dit un serpent se réveillant après une longue hibernation et rampant pour faire circuler son sang à nouveau.
“肯定是COBE卫星的故障！” 沙瑞山惊恐地盯着曲线讲。	— C'est certainement un défaut de fonctionnement de Cobe, bredouilla Sha Ruishan en considérant la courbe avec épouvante.
“不是故障。” 汪淼平静地说，在这样的事情面前，他已经初步学会了控制自己。	— Ce n'est pas un dysfonctionnement, répondit calmement Wang Miao. Arrivé à ce stade, il avait appris à contrôler ses émotions.
“我们马上就能知道！”	— Nous allons tout de suite le savoir, dit Sha Ruishan.
沙瑞山说着，在另外两台终端上快速操作起来。	
很快，他调出了另外两颗卫星WMAP和Planck的宇宙背景辐射实时数据，并将其变化显示为曲线——	Il mit rapidement les deux autres terminaux en marche et il obtint bientôt les données en temps réel sur le fond diffus cosmologique fournies par WMAP et Planck. Il changea l'affichage en mode courbe.
三条曲线在同步波动，一模一样。	Les trois lignes affichaient les mêmes variations, absolument synchrones.
沙瑞山又搬出一台笔记本电脑，手忙脚乱地启动系统，插上宽带网线，然后打电话——汪淼听出他在联系乌鲁木齐射电观测基地——然后等待着。	Sha Ruishan sortit son ordinateur portable qu'il démarra les mains tremblantes. Il brancha un câble Ethernet et passa un coup de téléphone. Wang Miao comprit qu'il cherchait à joindre l'observatoire d'Urumqi. Il attendit.
	Sha Ruishan ne lui donna aucune explication.
他没有对汪淼解释什么，两眼死盯着屏幕上的浏览器，汪淼能听到他急促的呼吸声：几分钟后，浏览器上出现了一个坐标窗口，一条红色曲线在窗口上出现，与另外三条进行着精确同步的波动。	Ses yeux étaient rivés sur son appareil, comme si sa vie en dépendait. Wang Miao pouvait entendre sa respiration haletante. Quelques minutes plus tard, une fenêtre de navigation s'afficha sur l'écran, puis une courbe rouge apparut. Elle suivait au détail près les mêmes fluctuations que les trois autres.
这样，三颗卫星和一套地面观测设备同时证实了一件事：宇宙在闪烁！	Les trois satellites et l'observatoire au sol confirmaient la même réalité : l'univers clignotait.
“能将前面的曲线打印出来吗？” 汪淼问。	— Peut-on imprimer ces courbes ? demanda Wang Miao.
沙瑞山抹了一把头上的冷汗，点点头，移动鼠标启动了打印程序。	Sha Ruishan essuya la sueur froide qui perlait à son visage et hocha la tête. Il déplaça le curseur de la souris et cliqua sur la fonction impression.
汪淼迫不及待地抓过激光打印机吐出的第一张纸，用一枝铅笔划过曲线，将波峰问的距离与他刚拿出来的那张莫尔斯电码表对照起来。	Wang Miao attendait avec impatience de saisir la première feuille que recracherait l'imprimante laser et de tracer les courbes avec un crayon pour comparer les distances entre les pics de variation et l'alphabet morse.
短长长长长、短长长长长、短短短短短、长长长短短、长长短短长长、短短长长长、短短短短长、长长短短长长、短短短长长、长长短短短，这是1108：21：37。	Court-long-long-long-long, court-long-long-long-long, court-court-court-court-court, long-long-long-court-court, long-long-long-court-court-long-long, court-court-court-court-long, long-long-court-court-long-long, court-court-court-long-long, long-long-court-court-court, c'est-à-dire 1108 : 21 : 37.
短长长长长、短长长长长、短短短短短、长长长短短、长长短短长长、短短长长长、短短短短长、长长短短长长、短短短长长、长短短短短，这是1108：21：36。	Court-long-long-long-long, court-long-long-long-long, court-court-court-court-court, long-long-long-court-court, long-long-long-court-court-long-long, court-court-court-court-long, long-long-court-court-long-long, court-court-court-long-long, long-court-court-court-court, c'est-à-dire 1108 : 21 : 36.
短长长长长、短长长长长、短短短短短、长长长短短、长长短短长长、短短长长长、短短短短长、长长短短长长、短短短长长、短短短短短，这是1108：21：35。	Court-long-long-long-long, court-long-long-long-long, court-court-court-court-court, long-long-long-court-court, long-long-long-court-court-long-long, court-court-court-court-long, long-long-court-court-long-long, court-court-court-long-long, court-court-court-court-court, c'est-à-dire 1108 : 21 : 35.
…… 倒计时在宇宙尺度上继续，已经过去了78小时，还剩1108小时？	Le compte à rebours continuait mais, cette fois, à l'échelle de l'univers. Quatre-vingt-douze heures s'étaient déjà écoulées, il n'en restait plus que mille cent huit.
沙瑞山焦躁地来回踱步，不时在汪淼身后停下来看看他正在写出的那一串数字。	Debout à côté de lui, Sha Ruishan ne tenait plus en place. Il s'arrêtait de temps en temps pour regarder derrière l'épaule de Wang Miao qui traçait ses lignes de chiffres. N'y tenant plus, il hurla enfin :
“你真的不能把实情告诉我吗？ ！”	— Ne pouvez-vous pas me dire ce qui se passe ?
他耐不住大声问。	
“沙博士，相信我，一时说不清的。”	— Docteur Sha, croyez-moi, je ne peux pas vous l'expliquer.
汪淼推开那一堆印着波动曲线的纸，盯着那行倒计时数字，“也许，三颗卫星和一个地面观测点都出现了故障。”	Wang Miao repoussa la feuille sur laquelle avaient été imprimées les courbes de variation du fond diffus cosmologique, puis il fixa les suites de chiffres du compte à rebours en disant : — Peut-être que les trois satellites et le télescope d'Urumqi ont tous eu une défaillance au même moment.
“你知道这不可能！”	— Vous savez bien que c'est impossible !
“如果有人故意破坏呢？”	— Et si quelqu'un avait saboté les systèmes ?
“也不可能！	— Encore impossible !
同时改变三颗卫星和一个地面观测站的数据？	Saboter en même temps les données de trois satellites et d'un observatoire au sol ?
那这破坏也有些超自然了。”	Ce serait l'œuvre d'une force surnaturelle !
汪淼点点头，比起宇宙闪烁来，他宁愿接受这个超自然。	Wang Miao hocha la tête. Il préférait croire à un acte surnaturel plutôt qu'à un clignotement de l'univers.
但沙瑞山立刻抽走了他怀中这唯一的一根救命稻草。	Mais Sha Ruishan lui ôta aussitôt ce dernier espoir.
“要想最终证实这一切，其实很简单。	— Pour s'en assurer définitivement, c'est simple.
宇宙背景辐射这样幅度的波动，已经大到我们能用肉眼觉察的程度。”	La variation est telle qu'il est possible de la voir à l'œil nu.
“你胡说什么？	— Qu'est-ce que vous racontez ?
现在是你在违反常识了：背景辐射的波长是7cm，比可见光大了七八个数量级，怎么能看到？”	Maintenant, c'est vous qui divaguez ! La longueur d'onde du rayonnement fossile est de sept centimètres, c'est de sept ou huit ordres de grandeur supérieur à la longueur d'onde de la lumière visible, comment pourrions-nous la voir à l'œil nu ?
“用3K眼镜。”	— Avec des lunettes 3K.
“3K眼镜？”	— Des lunettes 3K ?
“是我们为首都天文馆做的一个科普小玩意儿。	— C'est un petit accessoire créé par le planétarium de Pékin, dans un but de vulgarisation scientifique.
现在的技术，已经能将彭齐阿斯和威尔逊在四十多年前用于发现3K背景辐射的二十英尺的喇叭形天线做成眼镜大小，并且在这个眼镜中设置一个转换系统，将接收到的背景辐射的波长压缩七个数量级，将7cm波转换成红光。	Grâce aux technologies d'aujourd'hui, ils ont pu reproduire à la taille des lunettes l'antenne cornet de Penzias et Wilson qui a permis la découverte du fond diffus cosmologique, il y a plus de quarante ans. Un convertisseur a été installé dans les verres pour compresser les longueurs d'onde de sept ordres de grandeur, de telle sorte que les longueurs d'onde de sept centimètres sont visibles sous la forme de lumière rouge.
这样，观众在夜里戴上这种眼镜，就能亲眼看到宇宙的3K背景辐射，现在，也能看到宇宙闪烁。”	Par conséquent, la nuit, quand le public enfile les lunettes, il peut voir le rayonnement à 3K de ses propres yeux. Si les fluctuations sont telles qu'elles apparaissent sur le terminal, nous devrions voir l'univers clignoter à travers les lunettes.
“这东西现在在哪”	— Où se trouvent ces lunettes ?
“在天文馆，有二十副呢。”	— Au planétarium, il y en a une vingtaine de paires.
“我必须在五点以前拿到它。”	— J'ai besoin de pouvoir les utiliser avant 5 heures du matin.
沙瑞山拿起电话拨了个号码，对方很长时间才接起电话，沙瑞山费尽口舌才说服那个被半夜叫醒的人一小时后在天文馆等汪淼。	Sha Ruishan passa un coup de téléphone. Son interlocuteur mit longtemps à décrocher et Sha Ruishan dut ensuite batailler ferme pour convaincre l'homme qu'il avait réveillé en pleine nuit d'attendre Wang Miao au planétarium dans une heure.
临别时沙瑞山说：“我就不同您去了，刚才看到的已经足够，我不需要这样的证明。	Au moment de partir, Sha Ruishan dit à Wang Miao : — Je ne viens pas avec vous. Ce soir, j'en ai déjà trop vu, je n'ai pas besoin de cette dernière preuve.
我还是希望您能在适当的时候把实情告诉我，如果这种现象引出什么研究成果的话，我不会忘记您的。”	J'espère que vous pourrez me dire la vérité le moment venu. Si ce phénomène produit des résultats de recherche particuliers, je ne vous oublierai pas.
“闪烁在凌晨五点就会停止，以后别去深究它吧，相信我，不会有什么成果的。” 汪淼扶着车门说。	— Le clignotement cessera à 5 heures du matin. Ne perdez pas de temps à essayer de chercher une raison à ce phénomène, croyez-moi, vous ne trouverez rien d'intéressant, lui confia Wang Miao en ouvrant la portière de la voiture.
沙瑞山对着汪淼注视良久，点点头：“明白了，现在科学界出了一些事……”	Sha Ruishan fixa Wang Miao un long moment, puis il acquiesça : — Je comprends, il se passe des choses étranges dans le monde de la science en ce moment…
“是的。” 汪淼说着，钻进车里，他不想把这个话题继续下去了。	— Oui, répondit simplement Wang Miao en s'engouffrant dans la voiture. Il n'avait pas envie de prolonger cette discussion.
“轮到我们了吗？”	— C'est notre tour ?
“至少轮到我了。” 汪淼说着发动了车子。	— C'est au moins le mien, dit Wang Miao en mettant le moteur en marche.
汪淼一小时后到达市内，他在新天文馆前下了车。	Une heure plus tard, Wang Miao arriva en centre-ville et se gara devant le planétarium.
城市午夜的灯光透过这栋巨大玻璃建筑的透明幕墙，将内部的结构隐隐约约显现出来。	Les lumières de la ville filtraient à travers les parois transparentes de cette énorme bâtisse en verre et laissaient vaguement deviner l'architecture intérieure.
汪淼现在体会到，如果新天文馆的建筑师想表达对字宙的感觉，那他成功了——越透明的东西越神秘，字宙本身就是透明的，只要目力能及，你想看多远就看多远，但越看越神秘。	Wang Miao se fit à cet instant la réflexion que si l'architecte avait voulu exprimer l'impression que lui inspirait l'univers, c'était réussi. Plus les choses sont transparentes, plus elles sont mystérieuses. L'univers lui-même est transparent : votre regard peut porter aussi loin que le permet votre instrument de vision. Mais plus vous regardez l'univers, plus il vous semble mystérieux.
那名睡眼惺忪的天文馆1二作人员已经在门口等汪淼了，他把一个手提箱递给汪淼，“这里面有五副3K眼镜，都是充好电的。	L'employé du planétarium l'attendait devant l'entrée, les yeux bouffis de sommeil. Il tendit une valise à Wang Miao : — Il y a cinq paires de lunettes 3K à l'intérieur, elles sont toutes rechargées.
左边的按钮是开关，右边是光度调节，下面还有十几副，你想怎么看就怎么看吧，我先去睡会儿，就在靠门口那个房间：这个沙博士，真是个神经病。”	Le bouton de gauche, c'est pour allumer ou éteindre, le droit, pour régler la luminosité. Il y a encore une dizaine de paires là-haut, regardez ce que vous voulez, je retourne dormir, je suis dans la chambre à côté de l'entrée. Quelque chose ne tourne pas rond chez ce Dr Sha.
说完转身走进昏暗的馆内。	Une fois sa phrase achevée, il rentra dans le bâtiment obscur.
汪淼将箱子放到车座上打开，拿出一副3K眼镜，这东西很像他刚用过的v装具中的头盔显示器。	Wang Miao posa la valise sur le fauteuil de sa voiture, l'ouvrit et prit une paire de lunettes. L'accessoire ressemblait au casque à visée panoramique de la V-combinaison. Il sortit du véhicule et alla les essayer à l'extérieur.
他拿起一副走到车外戴上，透过镜片看到的城市夜景没有变化，只是暗了些，这时他才想起要将开关打开，立刻，城市化作一团团朦胧的光晕，大部分亮度固定，还有一些闪烁或移动着。	Le paysage nocturne de la ville derrière les verres n'avait pas changé, il était seulement un peu plus sombre. Il se souvint soudain qu'il ne les avait pas allumées. Aussitôt, la ville lui apparut comme un amas de faisceaux brumeux. Il régla la luminosité, mais certaines lumières continuaient à clignoter ou à scintiller.
他知道，这都是被转化为可见光的厘米微波，每团光晕的中心就是一个发射源，由于波长的原因，不可能看清形状。	Il savait que ces sources d'émission possédaient des longueurs d'onde mesurables en centimètres et qu'elles étaient converties en lumières visibles. À chaque halo correspondait une source d'émission mais, en raison de la taille de leur longueur d'onde, il était impossible d'en distinguer clairement la forme.
他抬起头，看到了一个发着暗红色微光的天空，就这样，他看到了宇宙背景辐射，这红光来自于一百多亿年前，是大爆炸的延续，是创世纪的余温。	Il leva la tête et vit un ciel miroitant de lumières rouge sombre. Voilà, il voyait à présent le fond diffus cosmologique, ce rayonnement vieux de plus de dix milliards d'années, le vestige du Big Bang, les seules braises restantes du grand feu de la Genèse.
看不到星星，本来，由于可见光波段已被推至不可见，星星应该是一个个黑点，但厘米波的衍射淹没了一切形状和细节。	Il ne distinguait aucune étoile. Les lumières normalement visibles à l'œil nu ayant été compressées pour devenir invisibles, les étoiles auraient dû lui apparaître derrière les lunettes sous la forme de taches noires, mais la diffraction des rayonnements aux longueurs d'onde d'ordre centimétrique submergeait toutes les formes et tous les détails.
当汪淼的眼睛适应了这一切后，他看到了天空的红光背景在微微闪动，整个太空成一个整体在同步闪烁，仿佛整个宇宙只是一盏风中的孤灯。	Lorsque les yeux de Wang Miao se furent habitués, il vit la lumière rouge en arrière-plan du ciel se mettre à clignoter. C'était tout l'espace qui se mettait à ciller de façon synchrone, comme si l'univers tout entier n'était qu'une lanterne solitaire dans le vent.
站在这闪烁的苍穹下，汗淼突然感到宇宙是这么小，小得仅将他一人禁锢于其中。	Debout sous les lueurs vacillantes du ciel, Wang Miao eut soudain l'impression que l'univers était petit, si minuscule même qu'il avait l'impression d'être retenu à l'intérieur comme dans une prison.
宇宙是一个狭小的心脏或子宫，这弥漫的红光是充满于其中的半透明的血夜，他悬浮于血液中，红光的闪烁周期是不规则的，像是这心脏或子宫不规则地脉动，他从中感受到了一个以人类的智慧永远无法理解的怪异、变态的巨大存在。	L'univers était un cœur ratatiné, un utérus étroit, parcouru de vaisseaux sanguins à moitié translucides. En suspension dans le sang, il s'aperçut que les lumières rouges clignotaient de façon erratique, comme si les pulsations de ce cœur, les contractions de cet utérus étaient irrégulières. Wang Miao sentit alors une présence si démesurée et si étrange qu'elle était destinée à ne jamais être comprise par l'entendement humain.
汪淼摘下3K眼镜，虚弱地靠着车轮坐在地上。	Wang Miao ôta les lunettes 3K. Il s'assit fébrilement sur le sol, le dos appuyé contre sa voiture.
在他的眼中，午夜的城市重新恢复了可见光波段所描绘的现实图景，但他的目光游移，在捕捉另外一些东西：对面动物园大门旁的一排霓虹灯中有一根灯管坏了，不规则地闪烁着；近处的一棵小树上的树叶在夜风中摇动，反射着街灯的光，不规则地闪烁着；远处北京展览馆俄式尖顶上的五角星也在反射着下面不同街道上车灯的光，不规则地闪烁着……汪森按莫尔斯电码努力破译着这些闪烁。	Dans ses yeux, la ville avait retrouvé l'aspect réaliste que les lumières visibles lui permettaient de décrire, mais son regard vagabondait, comme s'il souhaitait capturer autre chose. En face, l'un des néons indiquant l'entrée du zoo était presque grillé et papillotait de façon irrégulière. Non loin, les feuilles d'un arbuste frémissaient dans la brise nocturne en reflétant la lumière des lampadaires qui, elle aussi, semblait scintiller de manière instable ; au loin, l'étoile à cinq branches au sommet du bâtiment d'architecture soviétique du Centre des expositions de Pékin reflétait également les lumières des phares des voitures et clignotait par intermittence… Wang Miao s'évertuait à essayer de déchiffrer le code en morse de ces clignotements.
他甚至觉得，旁边几幅彩旗在微风中飘出的皱褶、路旁一洼积水表面的涟漪，都向他传递着莫尔斯电码……他努力地破译着，感受着幽灵倒计时的流逝。	Il avait même l'impression que les rides sur les drapeaux publicitaires volant au vent ou les ondulations à la surface des flaques d'eau lui envoyaient des messages en morse. Tandis qu'il essayait de décrypter ces signaux, le compte à rebours fantôme continuait à s'écouler devant ses yeux.
不知过了多久，那个天文馆的工作人员出来了，问汪淼看完了没有。	Au bout d'un certain temps – il ignorait combien –, l'employé du planétarium vint trouver Wang Miao pour lui demander s'il avait terminé.
当看到他时，他的样子使那人双眼中的睡意一下子消失了。 收拾好了3K眼镜的箱子，那人又盯着汪淼看了几秒钟，提着箱子快步走了回去。	Quand il le vit dans cet état, son regard ensommeillé s'évanouit, il ramassa la valise contenant les lunettes, observa encore Wang Miao quelques secondes et retourna à l'intérieur en pressant le pas.
汪森拿出手机，拨通了申玉菲的电话，她很快就接了，也许她也度过一个不眠之夜。	Wang Miao prit son téléphone et appela Shen Yufei. Elle décrocha presque aussitôt. Peut-être qu'elle non plus n'arrivait pas à trouver le sommeil.
“倒计时的尽头是什么？” 汪淼无力地问。	— Que se passe-t-il à la fin du compte à rebours ? demanda Wang Miao, à bout de forces.
“不知道。” 说了这简短的三个字后，电话挂断了。	— Je ne sais pas, répondit-elle laconiquement avant de raccrocher.
是什么？	Qu'est-ce que cela pouvait être ?
也许是自己的死亡，像杨冬那样；也许是一场像前几年印度洋海啸那样的大灾难，谁也不会将其与自己的纳米研究项目相联系（由此联想到，以前的每一次大灾难，包括两次世界大战，是否都是一次次幽灵倒计时的尽头？	Peut-être que c'était sa propre mort qui l'attendait, comme pour Yang Dong ? Peut-être qu'une catastrophe allait avoir lieu, comme le grand tsunami de l'océan Indien quelques années plus tôt ? Qui pouvait faire le lien avec son projet de recherche sur les nanotechnologies ? (Et ainsi, le fil de sa pensée l'amena à se demander si les grandes catastrophes du passé, y compris les deux grandes guerres mondiales, n'avaient pas elles aussi été les issues d'un compte à rebours fantôme dont un être insignifiant et insoupçonné comme lui devait assumer l'ultime responsabilité. )
都有一个谁都想不到的像自己这样的人要负的最终责任）；也许是全世界的彻底毁灭，在这个变态的宇宙中，那倒对谁都是一种解脱……有一点可以肯定，不管幽灵倒计时的尽头是什么，在这剩下的千余个小时中，对尽头的猜测将像恶魔那样残酷地折磨他，最后在精神上彻底摧毁他。	Peut-être que le monde allait imploser ? Dans cet univers monstrueux, ce serait peut-être une délivrance… Une chose était certaine. Quel que soit le terme du compte à rebours, durant le millier d'heures qui lui restaient, ces spéculations le tortureraient aussi cruellement que des démons et finiraient par l'anéantir mentalement.
汪淼钻进车子，离开了天文馆，在城市里漫无目的地开着。	Wang Miao retourna dans sa voiture et quitta le planétarium. Il roulait au hasard.
黎明前，路上很空，但他不敢开快，仿佛车开得快，倒计时走得也快。	À cette heure, la chaussée était déserte, mais il n'osait pas conduire trop vite, comme si la vitesse de son véhicule risquait d'accélérer celle du compte à rebours.
当东方出现一线晨光时，他将车停在路边，下车走了起来，同样漫无目标的。	Lorsque les premiers rayons du soleil pointèrent à l'est, il s'arrêta au bord de la route et descendit pour marcher, toujours aveuglément.
